"Thématiques","Critères","Accueil",Recherche,Entreprises
"1","1","c",c,c
"1","2","nc|Supprimer les alternatives sur les images de décoration. Par exemple :
- ""Espace opendata INPI""
- ""Observatoire de la propriété intellectuelle inpi""
- ""Documentation inpi""
- ""connexion""
- ""chevron droit INPI""

Ajouter un alt vide dans les images qui n'ont aucun intitulé. Par exemple :
- `<img src=""/build/images/background-header-wave.png"">à","nc|Supprimer les alternatives sur les images de décoration. Par exemple :
- ""Espace opendata INPI""
- ""Observatoire de la propriété intellectuelle inpi""
- ""Documentation inpi""
- ""connexion""
- ""chevron droit INPI""

Modifier les alternatives en anglais
- ""trash INPI"" -> ""Supprimer ce filtre""

Ajouter un alt vide dans les images qui n'ont aucun intitulé. Par exemple :
- `<img src=""/build/images/background-header-wave.png"">à","nc|Supprimer les alternatives sur les images de décoration. Par exemple :
- ""Espace opendata INPI""
- ""Observatoire de la propriété intellectuelle inpi""
- ""Documentation inpi""
- ""connexion""
- ""chevron droit INPI""

Ajouter un alt vide dans les images qui n'ont aucun intitulé. Par exemple :
- `<img src=""/build/images/background-header-wave.png"">à"
"1","3","nc|Le groupe de logos en haut à gauche (République Française à gauche + inpi à droite) est décrit comme ""Logo Marianne"", ce qui est incorrect. Recommandation : changer l'alternative pour ""Accueil, Portail data Inpi""

Ce groupe d'images étant un lien vers l'accueil du portail data, il ne faudra pas oublier de préciser cela dans l'intitulé du lien, qui peut être donné simplement par l'intitulé de l'image ici. Donc cette alternative.

L'information ""République Française"" est aussi importante. On pourra s'inspirer du Système de Design de l'État pour séparer le bloc d'images en 2.
Plus d'info :
- La marque de l'État : [Le bloc-marque](https://www.gouvernement.fr/charte/charte-graphique-les-fondamentaux/le-bloc-marque)
- Système de Design de l'État : [En-tête simple avec nom de service et description](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#En-t%C3%AAte-simple-avec-nom-de-service-et-description)

⚠️ Ne pas oublier de vérifier la pertinence de l'ensemble des images porteuses d’information ayant une alternative textuelle","nc|Le groupe de logos en haut à gauche (République Française à gauche + inpi à droite) est décrit comme ""Logo Marianne"", ce qui est incorrect. Recommandation : changer l'alternative pour ""Accueil, Portail data Inpi""

Ce groupe d'images étant un lien vers l'accueil du portail data, il ne faudra pas oublier de préciser cela dans l'intitulé du lien, qui peut être donné simplement par l'intitulé de l'image ici. Donc cette alternative.

L'information ""République Française"" est aussi importante. On pourra s'inspirer du Système de Design de l'État pour séparer le bloc d'images en 2.
Plus d'info :
- La marque de l'État : [Le bloc-marque](https://www.gouvernement.fr/charte/charte-graphique-les-fondamentaux/le-bloc-marque)
- Système de Design de l'État : [En-tête simple avec nom de service et description](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#En-t%C3%AAte-simple-avec-nom-de-service-et-description)

⚠️ Ne pas oublier de vérifier la pertinence de l'ensemble des images porteuses d’information ayant une alternative textuelle","nc|Le groupe de logos en haut à gauche (République Française à gauche + inpi à droite) est décrit comme ""Logo Marianne"", ce qui est incorrect. Recommandation : changer l'alternative pour ""Accueil, Portail data Inpi""

Ce groupe d'images étant un lien vers l'accueil du portail data, il ne faudra pas oublier de préciser cela dans l'intitulé du lien, qui peut être donné simplement par l'intitulé de l'image ici. Donc cette alternative.

L'information ""République Française"" est aussi importante. On pourra s'inspirer du Système de Design de l'État pour séparer le bloc d'images en 2.
Plus d'info :
- La marque de l'État : [Le bloc-marque](https://www.gouvernement.fr/charte/charte-graphique-les-fondamentaux/le-bloc-marque)
- Système de Design de l'État : [En-tête simple avec nom de service et description](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#En-t%C3%AAte-simple-avec-nom-de-service-et-description)

⚠️ Ne pas oublier de vérifier la pertinence de l'ensemble des images porteuses d’information ayant une alternative textuelle"
"1","4","na",na,na
"1","5","na",na,na
"1","6","na",na,na
"1","7","na",na,na
"1","8","na",na,na
"1","9","na",na,na
"2","1","na",na,na
"2","2","na",na,na
"3","1","c",c,c
"3","2","c",c,c
"3","3","nc|Le bouton de recherche n'est pas assez constrasté (Ratio de 3 : 1 au lieu de minimum 4.5 : 1)

⚠️ Ne pas oublier de vérifier tous les contrastes. Ne pas oublier le panneau de gestion des cookies. Ne pas oublier la version mobile. etc.",c,c
"4","1","na",na,na
"4","2","na",na,na
"4","3","na",na,na
"4","4","na",na,na
"4","5","na",na,na
"4","6","na",na,na
"4","7","na",na,na
"4","8","na",na,na
"4","9","na",na,na
"4","10","na",na,na
"4","11","na",na,na
"4","12","na",na,na
"4","13","na",na,na
"5","1","na",na,na
"5","2","na",na,na
"5","3","na",na,na
"5","4","na",na,na
"5","5","na",na,na
"5","6","na",na,na
"5","7","na",na,na
"5","8","na",na,na
"6","1","nc|Plusieurs lien ne sont pas explicites. Par exemple :
- le lien du logo inpi n'indique pas que c'est un lien vers l'accueil (cf. 1.3)
- les liens du menu principal sont ""doublés""
- les liens du pied de page n'indiquent pas ""nouvelle fenêtre"". Suggestion : ajouter un attribut comme `title=""lorem ipsum (nouvelle fenêtre)""`. Par exemple : `title=""OEB (nouvelle fenêtre)""` (ou plutôt `title=""Office européen des brevets (nouvelle fenêtre)""` ?)
- etc.

Sur mobile (petits écrans), le texte ""Recherche avancée"" dépasse de l'écran (problème de positionnement CSS)

⚠️ Ne pas oublier de vérifier que tous les liens sont bien explicites","nc|Plusieurs lien ne sont pas explicites. Par exemple :
- le lien du logo inpi n'indique pas que c'est un lien vers l'accueil (cf. 1.3)
- les liens du menu principal sont ""doublés""
- les liens du pied de page n'indiquent pas ""nouvelle fenêtre"". Suggestion : ajouter un attribut comme `title=""lorem ipsum (nouvelle fenêtre)""`. Par exemple : `title=""OEB (nouvelle fenêtre)""` (ou plutôt `title=""Office européen des brevets (nouvelle fenêtre)""` ?)
- etc.

⚠️ Ne pas oublier de vérifier que tous les liens sont bien explicites","nc|Plusieurs lien ne sont pas explicites. Par exemple :
- le lien du logo inpi n'indique pas que c'est un lien vers l'accueil (cf. 1.3)
- les liens du menu principal sont ""doublés""
- les liens du pied de page n'indiquent pas ""nouvelle fenêtre"". Suggestion : ajouter un attribut comme `title=""lorem ipsum (nouvelle fenêtre)""`. Par exemple : `title=""OEB (nouvelle fenêtre)""` (ou plutôt `title=""Office européen des brevets (nouvelle fenêtre)""` ?)
- etc.

⚠️ Ne pas oublier de vérifier que tous les liens sont bien explicites"
"6","2","c",c,c
"7","1","nc|Le graphique n‘est pas compatible avec les technologies d’assistance. Même s'il est dérogé, il devrait être caché pour ne pas perturber la navigation des personnes utilisant des technologies d'assistance. Suggestion : englober l'ensemble des graphiques dans une `<div>` ayant un attribut `aria-hidden=""true""`.

⚠️ Ne pas oublier de vérifier que tous les scripts",nc,nc
"7","2","nc|Les graphiques n'ont pas d’alternatives pertinentes (cf. 7.1)

⚠️ Ne pas oublier de vérifier que tous les scripts",nc,nc
"7","3","nc|Le graphique n’est pas accessible au clavier (cf. 7.1)

⚠️ Ne pas oublier de vérifier que tous les scripts",nc,nc
"7","4","nc|Les éléments cliquables, par exemple ""Ile de France"" sur la carte, change la composition de la page en affichant des liens et des statistiques pour la région sélectionnée. Ce changement de contexte n'est pas signalé. Cf. 7.1 (si ces contenus sont cachés aux technologies d'assistance, ce problème disparait).

⚠️ Ne pas oublier de vérifier que tous les scripts",nc,nc
"7","5","na",na,na
"8","1","c",c,c
